distance_m,speed_rps
2.500,33.250
2.570,33.496
2.641,33.742
2.711,33.989
2.781,34.235
2.852,34.481
2.922,34.727
2.992,34.974
3.063,35.220
3.133,35.466
3.204,35.712
3.274,35.959
3.344,36.205
3.415,36.451
3.485,36.697
3.555,36.943
3.626,37.190
3.696,37.436
3.766,37.682
3.837,37.928
3.907,38.175
3.977,38.421
4.048,38.667
4.118,38.913
4.188,39.160
4.259,39.406
4.329,39.652
4.399,39.898
4.470,40.144
4.540,40.391
4.611,40.637
4.681,40.883
4.751,41.129
4.822,41.376
4.892,41.622
4.962,41.868
5.033,42.098
5.103,42.309
5.173,42.520
5.244,42.731
5.314,42.942
5.384,43.153
5.455,43.364
5.525,43.575
5.595,43.786
5.666,43.997
5.736,44.209
5.807,44.420
5.877,44.631
5.947,44.842
6.018,45.053
6.088,45.264
6.158,45.475
6.229,45.686
6.299,45.897
6.369,46.108
6.440,46.319
6.510,46.530
6.580,46.741
6.651,46.952
6.721,47.163
6.791,47.374
6.862,47.585
6.932,47.796
7.003,48.009
7.073,48.255
7.143,48.501
7.214,48.747
7.284,48.994
7.354,49.240
7.425,49.486
7.495,49.732
7.565,49.979
7.636,50.225
7.706,50.471
7.776,50.717
7.847,50.964
7.917,51.210
7.987,51.456
8.058,51.702
8.128,51.948
8.198,52.195
8.269,52.441
8.339,52.687
8.410,52.933
8.480,53.180
8.550,53.426
8.621,53.672
8.691,53.918
8.761,54.165
8.832,54.411
8.902,54.657
8.972,54.903
9.043,55.114
9.113,55.302
9.183,55.489
9.254,55.677
9.324,55.864
9.394,56.052
9.465,56.240
9.535,56.427
9.606,56.615
9.676,56.802
9.746,56.990
9.817,57.178
9.887,57.365
9.957,57.553
10.028,57.740
10.098,57.928
10.168,58.116
10.239,58.303
10.309,58.491
10.379,58.678
10.450,58.866
10.520,59.054
10.590,59.241
10.661,59.429
10.731,59.616
10.802,59.804
10.872,59.992
10.942,60.179
11.013,60.367
11.083,60.554
11.153,60.742
11.224,60.930
11.294,61.117
11.364,61.305
11.435,61.492
11.505,61.680
11.575,61.868
11.646,62.055
11.716,62.243
11.786,62.430
11.857,62.618
11.927,62.806
11.997,62.993
12.068,63.153
12.138,63.311
12.209,63.469
12.279,63.628
12.349,63.786
12.420,63.944
12.490,64.102
12.560,64.261
12.631,64.419
12.701,64.577
12.771,64.736
12.842,64.894
12.912,65.052
12.982,65.210
13.053,65.369
13.123,65.527
13.193,65.685
13.264,65.844
13.334,66.002
13.405,66.160
13.475,66.318
13.545,66.477
13.616,66.635
13.686,66.793
13.756,66.952
13.827,67.110
13.897,67.268
13.967,67.427
14.038,67.585
14.108,67.743
14.178,67.901
14.249,68.060
14.319,68.218
14.389,68.376
14.460,68.535
14.530,68.693
14.601,68.851
14.671,69.009
14.741,69.168
14.812,69.326
14.882,69.484
14.952,69.643
15.023,69.801
15.093,69.959
15.163,70.117
15.234,70.276
15.304,70.434
15.374,70.592
15.445,70.751
15.515,70.909
15.585,71.067
15.656,71.226
15.726,71.384
15.796,71.542
15.867,71.700
15.937,71.859
16.008,72.017
16.078,72.175
16.148,72.334
16.219,72.492
16.289,72.650
16.359,72.808
16.430,72.967
16.500,73.125
